Metallic glasses (at. %),Shear Modulus (GPa),Bulk Modulus (GPa)
Ca20Zn20Sr20Yb20Li11Mg9,6.3,12
Sr60Li5Mg15Zn20,7,16.1
Sr60Mg18Zn22,7.7,14.6
Sr60Mg20Zn15Cu5,7.8,15.3
Sr40Yb20Mg20Zn15Cu5,7.9,17.6
Ca20Zn20Sr20Yb20Mg20,8.9,17.5
Sr50Mg20Zn20Cu10,9,17.1
Ca65Mg8.31Li9.69Zn17,9,18.5
Ca65Mg8.54Li9.96Zn16.5,9,20.2
Yb62.5Zn15Mg17.5Cu5,10.4,19.8
Ca55Mg25Cu20,10.8,22.6
(La0.6Ce0.4)68Al10Cu20Co2,11.2,34.4
(La0.9Ce0.1)68Al10Cu20Co2,11.2,35.8
Ce70Al10Cu20,11.3,29.2
(La0.8Ce0.2)68Al10Cu20Co2,11.3,35.1
Ce69.8Al10Cu20Co0.2,11.5,31.2
Ce70Al10Ni10Cu10,11.5,27
Ce65Al10Ni10Cu10Nb5,11.6,29.8
Ce69.5Al10Cu20Co0.5,11.6,31.3
(Ce0.8La0.2)68Al10Cu20Co2,11.6,31.8
(La0.5Ce0.5)68Al10Cu20Co2,11.6,34.3
(La0.7Ce0.3)68Al10Cu20Co2,11.6,35.3
Ce69Al10Cu20Co1,11.7,31.1
Ce68Al10Cu20Nb2,11.7,30.1
Ce68Al10Cu20Co2,11.8,30.3
(Ce0.7La0.3)68Al10Cu20Co2,11.9,32.9
Ce68Al10Cu20Ni2,12,31.8
La68Al10Cu20Co2,12,38.8
Ca48Mg27Cu25,12.2,18.8
Ce68Al10Cu20Fe2,12.3,31.6
La64Al14(Cu0.5Ni0.5)22,12.5,39.1
Ca50Mg20Cu30,12.6,29
La66Al14Ni10Cu10,13.4,34.9
Pr60Cu20Ni10Al10,13.6,45.2
(Ce0.72Cu0.28)85Al10Fe5,13.9,35.7
La57.6Al17.5(Cu0.5Ni0.5)24.9,13.9,41.3
Pr60Cu18Ni10Al10Fe2,14,43.2
(Ce0.72Cu0.28)75Al10Fe15,14.1,35.7
Pr60Cu16Ni10Al10Fe4,14.1,42.6
Pr60Cu17Ni8Al15,14.2,44.3
Pr60Cu14Ni10Al10Fe6,14.3,43.2
Ce60Al20Cu20,14.3,33.5
La60Al20Co20,14.5,39.2
La55Al25Co20,15.4,39.4
La55Al25Cu10Ni5Co5,15.5,44.4
Pr55Cu17Ni8Al20,16.1,42.3
Pr60Cu12Ni10Al10Fe8,16.8,47.7
Pr60Cu10Ni10Al10Fe10,17.2,46.6
Pr55Cu14.3Ni5.7Al25,17.2,48.2
Pr55Al25Co20,17.4,43.5
(Ce0.72Cu0.28)90Al10,17.7,34.3
Pr60Cu5Ni10Al10Fe15,17.9,45.3
Mg64Ni21Nd15,17.9,44.8
Pr55Al12Fe30Cu3,18.2,41.4
Pr60Cu2Ni10Al10Fe18,18.7,42.5
Ce60Al15Ni15Cu10,18.7,36.6
(Mg0.65Cu0.25Gd0.1)97Ti3,19.1,44.1
Pr60Ni10Al10Fe20,19.2,41.6
Mg65Cu25Gd10,19.3,45.1
(Mg0.65Cu0.25Gd0.1)99Sn1,19.4,44.9
Mg65Cu25Tb10,19.4/19.6,44.7/45.8
Mg59.5Cu22.9Ag6.6Gd11,19.8,48.3
Mg61Cu28Gd11,19.8,47.6
(Mg0.65Cu0.25Gd0.1)95Ti5,19.8,44.6
Mg60Cu25Gd15,19.9,46.6
(Mg0.65Cu0.25Gd0.1)97Sn3,19.9,45.4
(Mg0.65Cu0.25Gd0.1)99Ti1,19.9,47.8
Mg63Cu26Y11,20,47
Mg61Cu22.4Ag5.6Y11,20.1,48.9
Mg58.5Cu30.5Y11,20.4,49.4
Mg57Cu34Nd9,20.5,50.7
Mg56Cu21Ag14Y9,20.6,54.3
Mg60Cu25Gd10Zn5,20.6,46.7
Mg54Cu28Ag7Y11,20.6,52
Mg57Cu31Y6.6Nd5.4,20.7,48.3
Mg58Cu27Y10Zn5,21.3,44.8
Sm40Y15Al25Co20,21.6,54.7
Tb55Al25Co20,22.8,50.2
Gd51Al24Co20Zr4Nb1,23.3,60.1
Dy55Al25Co20,23.5,52.2
Gd40Y16Al24Co20,23.5,58
Gd36Y20Al24Co20,23.5,57.2
Mg55Cu25Ag10Gd10,23.6,53.5
Tb36Y20Al24Co20,24,60.5
Dy46Y10Al24Co18Fe2,24.4,58.5
Ho40Al22Co22Y16,25.3,60.7
Zr70Al7(Ni1/3Cu2/3)23,25.4,112.5
Ho55Al25Co20,25.4,58.8
Tm55Al25Co20,25.6,62
Tm27.5Y27.5Al25Co20,25.8,61.9
(ZrNb)73.4(CuNiAl)26.6,25.9,96.7
Ho30Al24Co20Y26,25.9,63
Ho39Al25Co20Y16,26.2,63.6
(ZrNb)72.8(CuNiAl)27.2,26.4,106.2
Au49Ag5.5Pd2.3Cu26.9Si16.3,26.5,132.3
Er36Y20Al24Co20,26.6,63.8
Zr68Al8(Ni1/3Cu2/3)24,26.8,102.2
Er50Y6Al24Co20,27,65.1
Er55Al25Co20,27.1,60.7
Tm45Y10Al25Co20,27.3,62.3
(ZrNb)70.7(CuNiAl)29.3,27.6,105.8
Zr66Al9(Ni1/3Cu2/3)25,27.8,98.2
Tm40Zr15Al25Co20,28,68.1
Pd80P20,28.2,160
Zr61Cu17.3Ni12.8Al7.9Sn1,28.2,102.6
Zr60Al10Ni10Cu15Be5,28.2,109.7
Zr61Cu16.8Ni12.8Al7.9Sn1.5,28.4,92.9
Zr65.025Cu14.85Ni10.125Al10,28.4,104.4
Zr64.13Al10Ni10.12Cu15.75,28.5,106.6
Zr61Cu17.8Ni12.8Al7.9Sn0.5,28.8,101.3
Zr61Cu18.3Ni12.8Al7.9,28.9,101.4
Zr62Al10Ni12.6Cu15.4,28.9,109
Cu46Zr42Al7Y5,29.1,106.8
Zr61Al8.9Fe10.2Cu10.2Ag9.7,29.2,
Zr61.88Al10Ni10.12Cu18,29.3,107.7
Tm39Y16Al25Co20,29.4,66.1
Zr62.325Cu17.55Ni10.125Al10,29.5,108.4
Zr61Cu15.8Ni12.8Al7.9Sn2.5,29.8,102.1
Zr60.525Cu19.35Ni10.125Al10,29.8,109
(Zr0.55Al0.1Ni0.05Cu0.3)99Y1,30,108
Lu39Y16Al25Co20,30,71.3
(Zr0.55Nb0.09Cu0.15Ni0.11Al0.1)99B1,30,108.2
Zr61Cu16.3Ni12.8Al7.9Sn2,30.1,99.8
Zr57Ti5Cu20Ni8Al10,30.1,99.2
Zr52.5Nb5Cu17.9Ni14.6Al10,30.2,109.7
Zr61Ti2Cu25Al12,30.2,104.1
Zr65Al10Ni10Cu15,30.3,
Tm40Y15Al25Co10Ni10,30.4,68.7
Lu55Al25Co20,30.6,69.2
Zr60Al12Cu28,30.7,106.5
Pd79Ag3.5P6Si9.5Ge2,31,172
Lu45Y10Al25Co20,31.1,
Zr60Nb3Cu14Ni13Al10,31.1,112.3
(Cu0.46Zr0.42Al0.07Y0.05)96Cr4,31.2,114.3
Cu50Zr50,31.3,101.2
Zr53Ti5Cu20Ni12Al10,31.3,112.3
(Zr0.55Al0.15Ni0.1Cu0.2)96Y4,31.5,104.8
(Cu0.541Zr0.382Ti0.077)98Y2,31.6,114.2
Zr55Al10Ni5Cu30,31.7,109.9
Zr52.5Ti5Cu17.9Ni14.6Al10,31.8,111.4
Zr35Ti30Cu8.25Be26.75,31.8,113.7
Cu51Zr41Ti8,31.9,118.8
Cu46Zr44Al7Y3,32,112.1
Zr57Nb5Cu15.4Ni12.6Al10,32,107.7
Sc36Al24Co20Y20,32.2,77.6
(Zr0.4675Ti0.0825Cu0.075Ni0.1Be0.275)92Al8,32.3,91.6
Pt74.7Cu1.5Ag0.3P18B4Si1.5,32.4,216.7
(Cu0.5Zr0.5)96Al4,32.4,113.7
(Cu0.5Zr0.5)94.5Al5.5,32.4,115.6
Cu45Zr45Al7Gd3,32.4,117.1
Zr58Ni26.6Al15.4,32.4,114.8
Pd64Ni16P20,32.8,172
(Zr0.4675Ti0.0825Cu0.075Ni0.1Be0.275)98Al2,32.8,110.6
Cu45Zr42.55Al9Y3.45,32.9,110
Pd77.5Cu6Si16.5,32.9,174.6
(Cu0.5Zr0.5)92Al7Gd1,32.9,123.7
Zr48Cu45Al7,33,112.8
Cu44.25Ag14.75Zr36Ti5,33.1,117
Pt57.5Cu14.7Ni5.3P22.5,33.3,198.7
Cu50Zr45Al5,33.3,117.3
Pd81Si19,33.4,182.6
(Zr58.9Ti5.6Cu22.2Ni13.3)88Al12,33.4,111.4
Zr60Al19Ni21,33.5,109.1
Pt60Ni15P25,33.8,201.9
(Cu0.5Zr0.5)94Al6,33.8,113.8
Zr53Ti5Cu20Ni12Al15,33.8,112.3
(Zr0.55Al0.15Ni0.1Cu0.2)98Y2,33.8,110.6
Zr56Co28Al16,33.9,113.1
(Zr0.59Ti0.06Cu0.22Ni0.13)85.7Al14.3,34,112.7
Zr36Ti14Cu12.5Ni5Be20.5Fe12,34,113.4
Pd56Fe24P20,34.3,161.2
(Cu0.5Zr0.5)92Al8,34.3,116.4
(Cu0.46Zr0.42Al0.07Y0.05)96Sn4,34.4,103.2
Zr48Nb8Cu14Ni12Be18,34.4,118.4
Zr55Al10Ni10Cu15Be10,34.4,111.6
Zr35Ti30Cu7.5Be27.5,34.5,96.5
Zr55.8Ni24.8Al19.4,34.6,113.9
Zr40Mg0.5Ti15Cu11Ni11Be21.5Y1,34.7,109.9
Zr55Nb9Cu15Ni11Al10,34.8,117.3
Cu45Zr46Al9,34.9,118.6
Cu60Zr33Ti7,34.9,122.2
Zr41Ti14Cu12.5Ni2Be22.5Fe8,35,98.4
Zr45Nb8Cu13Ni4Be22Fe8,35.1,114.9
Zr48Nb8Cu12Be24Fe8,35.2,113.6
Pd39Ni10Cu30P21,35.3,159.4
(Zr0.589Ti0.056Cu0.222Ni0.133)84Al16,35.3,113.3
Zr44Ti11Cu20Be25,35.3,111.2
Pd40Ni10Cu30P20,35.5,172.6
Ti40Zr25Ni3Cu12Be20,35.5,109.6
Zr44Ti11Cu9.3Ni10.2Be25Fe0.5,35.7,112.2
Ti45Zr20Be35,35.7,111.4
Zr50Cu25Be25,35.8,108.9
Zr52.5Al10Ni10Cu15Be12.5,35.9,112
Zr41Ti14Cu12.5Ni8Be22.5Fe2,36.1,112.3
(Cu0.5Zr0.5)90Al10,36.3,121.4
Zr41Ti14Cu12.5Ni5Be22.5Fe5,36.3,112.3
Zr45Nb10Cu13Ni10Be22,36.4,117.9
Pd40Ni40P20,36.5,175
Zr41Ti14Cu12.5Ni10Be22.5,36.5,115.3
Cu60Zr29Ti10Sn1,36.6,100.7
Ni80P20,36.7,161
Zr33Ti30Cu7.5Be27.5Al2,36.7,97.2
Zr33.5Ti24Cu15Be27.5,36.8,113
Cu60Zr20Hf10Ti10,36.9,128.2
Zr45.4Ti9.6Cu10.15Ni8.6Be26.25,37,111.9
Zr46.75Ti8.25Ni10Cu7.5Be27.5,37.2,111.9
Cu50.4Ni5.6Ti31Zr13,37.4,126.5
Zr53Ni23.5Al23.5,37.4,115.1
Pd64Fe16P20,37.9,169.8
Ni64Pd16P20,37.9,169.8
Zr41Ti14Cu12.5Be22.5Fe10,38.7,109.8
Zr50Al10Ni10Cu15Be15,38.8,110.9
Ti45Zr20Be30Cr5,39.2,114.5
Ni44Zr27.6Ti18.4Al10,39.5,130.4
Zr41Ti14Cu12.5Ni9Be22.5C1,39.5,107.3
Ni40Cu4Zr27.6Ti18.4Al10,39.6,132.3
Zr30Ti30Cu7.5Be27.5Al5,39.7,98.3
Ni40Cu2Pd2Zr27.6Ti18.4Al10,39.8,131.2
Ni45Ti20Zr25Al10,40.2,
(Zr0.41Ti0.14Cu0.125Ni0.1Be0.225)98Y2,40.2,108.7
(Zr0.4675Ti0.0825Cu0.075Ni0.1Be0.275)95Al5,40.5,115.8
Hf62Ni25Al13,41.3,128.8
Zr34Ti15Cu10Ni11Be28Y2,41.7,103.7
Hf49Ta2Cu27.25Ni9.75Al12,42.4,127.6
Cu49Hf42Al9,42.7,128.9
Hf46Nb2Cu29.25Ni9.75Al13,43.1,130.3
Hf48Cu29.25Ni9.75Al13,43.1,128.9
Zr25Ti30Cu7.5Be27.5Al10,43.7,101.7
(Zr0.4675Ti0.0825Cu0.075Ni0.1Be0.275)88Al12,44.1,112.6
(Zr0.4675Ti0.0825Cu0.075Ni0.1Be0.275)90Al10,44.5,113.8
Ni40Cu5Zr28.5Ti16.5Al10,45.2,140.2
Ni59Zr19Ti11Nb6Si3Sn2,47.5,159.2
(Zr0.4675Ti0.0825Cu0.075Ni0.1Be0.275)85Al15,48.4,116.9
Ni56Co3Nb28Hf8Sn5,52.9,173.8
Ni60Sn6(Nb0.8Ta0.2)34,59.4,189
Fe80P11C9,61,148
Fe35.5Ni35.5Nb6B23,64.9,203.8
Fe63Cr3Mo10P12C7B5,65.2,174
Fe63Cr3Mo10P12C10B2,65.3,178
Fe64Cr3Mo10P10C10B3,66,174
Fe66Mo10P12C10B2,66.1,176
Ni60Nb35Sn5,66.3,183
Fe66Cr3Mo10P8C10B3,66.5,172
Fe65Cr2Mo9P10C8B6,66.8,174
Fe68Cr3Mo10P6C10B3,67.6,172
(Fe0.9Co0.1)64Mo14C15B6Er1,73,177
(Fe0.9Co0.1)64.25Mo14C15B6Er0.75,73,176
(Fe0.9Co0.1)64.5Mo14C15B6Er0.5,73,175
(Fe0.9Co0.1)64.75Mo14C15B6Er0.25,73,175
(Fe0.9Co0.1)64.875Mo14C15B6Er0.125,73,178
Fe65Mo14C15B6,73,195
Fe71Nb6B23,73.4,182.6
Fe53.25Ni17.75Nb6B23,73.4,186.5
(Fe0.9Co0.1)58.5Cr6Mo14C19B2Er0.5,74.4,188
(Fe0.9Co0.1)58.5Cr6Mo14C18B3Er0.5,75.3,187
Fe50Mn10Mo14Cr4C16B6,76.1,180
(Fe0.9Co0.1)58.5Cr6Mo14C15B6Er0.5,76.2,190
(Fe0.6Cr0.1Mo0.09C0.13B0.06Er0.02)98In2,76.3,142.2
Fe60.5Cr4Mo14C15B6Er0.5,76.6,184
(Fe0.6Cr0.1Mo0.09C0.13B0.06Er0.02)95Ni5,76.6,166.6
Fe59Cr6Mo14C15B6,77.4,188
Fe63Mo14C15B6Er2,77.8,178
(Fe0.6Cr0.1Mo0.09C0.13B0.06Y0.02)98V2,78.1,172.7
(Fe0.6Cr0.1Mo0.09C0.13B0.06Er0.02)95Be5,78.8,167.9
Fe49Cr15Mo14C19B2Er1,78.9,207
Fe60Cr10Mo9C13B6Er2,79.2,169.1
(Fe0.6Cr0.1Mo0.09C0.13B0.06Er0.02)98Be2,79.2,167.2
(Fe0.6Cr0.1Mo0.09C0.13B0.06Er0.02)98Pb2,79.6,170.7
Fe49Cr15Mo14C18B3Er1,80.2,200
Fe49Cr15Mo14C17B4Er1,80.8,200
Fe48Cr15Mo14Er2C15B6,81,195
Fe49Cr15Mo14C15B6Er1,81.9,200
Fe50Cr15Mo14C15B6,82,204
Fe49Cr15Mo14C13B8Er1,82.5,201
Fe41Co7Cr15Mo14C15B6Y2,84.1,192.5
Fe64Cr10Mo9C15Er2,88.2,166.8
Co58Ta7B35,91.5,215.7
Co56Ta9B35,93.8,224.1
