Ag,Al,Au,B,Be,C,Ca,Ce,Co,Cr,Cu,Dy,Er,Fe,Gd,Ge,Hf,Ho,In,La,Li,Lu,Mg,Mn,Mo,Nb,Nd,Ni,P,Pb,Pd,Pr,Pt,Sc,Si,Sm,Sn,Sr,Ta,Tb,Ti,Tm,V,Y,Yb,Zn,Zr,AR,AS,Va,delta,EN,G,K,calculate G,calculate K,KG,KK,Vaa,XX,
0,0,0,35,0,0,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,118.4,0.02428087,7.821015855,0.208332572,0.0018,93.8,224.1,NA,214.829181,0.997385606,0.150502941,6.952543527,0.039589209,
0,0,0,35,0,0,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,118.2,0.024019432,7.771734738,0.207191184,0.0094,91.5,215.7,NA,214.3176068,0.998892397,0.778775951,6.917370523,0.039984051,
0,0,0,0,0,15,0,0,0,10,0,0,2,64,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130.65,0.027230557,10.31939359,0.198758642,0.0389,88.2,166.8,NA,102.2389279,0.999293958,4.866349889,9.341505019,0.025619045,
0,0,0,6,0,15,0,0,0,15,0,0,2,48,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,127.6,0.03179384,9.847898131,0.220376956,0.0595,85.8,191.1,NA,104.6328818,0.996035402,6.954072309,8.70243188,0.02757088,
0,0,0,6,0,15,0,0,7,15,0,0,0,41,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,127.35,0.031814988,9.804329477,0.221226304,0.0626,84.1,192.5,NA,104.519325,0.995110704,7.269371955,8.651381374,0.02776348,
0,0,0,8,0,13,0,0,0,15,0,0,1,49,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,127.55,0.029750228,9.761059274,0.213236375,0.0552,82.5,201,NA,113.0554736,0.9966524,6.368964534,8.692205757,0.02795695,
0,0,0,6,0,15,0,0,43,15,0,0,2,5,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125.45,0.030438828,9.337038514,0.217362036,0.081,82,,NA,106.1942897,0.986939799,8.761428311,8.26990663,0.029975859,
0,0,0,6,0,15,0,0,0,15,0,0,0,50,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126.9,0.030755714,9.628792988,0.215576971,0.0713,82,204,NA,108.4560272,0.991555356,8.065015291,8.559994302,0.028562236,
0,0,0,6,0,15,0,0,0,15,0,0,1,49,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,127.25,0.03127856,9.73834556,0.218021551,0.0654,81.9,200,NA,106.5101579,0.994001436,7.520323736,8.631017205,0.028059393,
0,0,0,6,0,15,0,0,0,15,0,0,2,48,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,127.6,0.03179384,9.847898131,0.220376956,0.0595,81,195,NA,104.6328818,0.996035402,6.954072309,8.70243188,0.02757088,
0,0,0,4,0,17,0,0,0,15,0,0,1,49,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126.95,0.032801333,9.715631845,0.222721565,0.0756,80.8,200,NA,100.6812448,0.990600908,8.663755639,8.570116486,0.028162451,
0,0,0,3,0,18,0,0,0,15,0,0,1,49,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126.8,0.033560627,9.704274987,0.225041336,0.0807,80.2,200,NA,97.99966249,0.988624695,9.232502839,8.539773851,0.028214213,
0,0,0,5.88,0,12.74,0,0,0,9.8,0,0,1.96,58.8,0,0,0,0,0,0,0,0,0,0,8.82,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,129.775,0.029312434,10.27411895,0.211841377,0.035758,79.6,170.7,NA,106.6166847,0.999784471,4.444779945,9.15507111,0.025796512,
0,0,0,5.88,2,12.74,0,0,0,9.8,0,0,1.96,58.8,0,0,0,0,0,0,0,0,0,0,8.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128.275,0.028466579,9.882519425,0.208508205,0.029758,79.2,167.2,NA,109.9087273,0.999991346,3.495762454,8.841270525,0.027419387,
0,0,0,6,0,13,0,0,0,10,0,0,2,60,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128.75,0.028657631,9.985243326,0.208220175,0.0371,79.2,169.1,NA,109.5631601,0.999630315,4.424270391,8.939851863,0.026977824,
0,0,0,2,0,19,0,0,0,15,0,0,1,49,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126.65,0.034318521,9.69291813,0.22734179,0.0858,78.9,207,NA,95.45721885,0.986467725,9.799273001,8.509502921,0.028266131,
0,0,0,5.7,5,12.35,0,0,0,9.5,0,0,1.9,57,0,0,0,0,0,0,0,0,0,0,8.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,127.5625,0.02815426,9.728433573,0.208817689,0.018745,78.8,167.9,NA,110.4311849,0.999540835,2.152292289,8.694761536,0.02810429,
0,0,0,5.88,0,12.74,0,0,0,9.8,0,0,0,58.8,0,0,0,0,0,0,0,0,0,0,8.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1.96,0,0,0,128.973,0.028314825,10.030461,0.207268253,0.030566,78.1,172.7,NA,109.8634694,0.999973703,3.669098639,8.986384879,0.026787131,
0,0,0,6,0,15,0,0,0,0,0,0,2,63,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,127.6,0.03179384,9.847898131,0.220376956,0.085,77.8,178,NA,105.2401379,0.985561617,9.934389013,8.70243188,0.02757088,
0,0,0,6,0,15,0,0,0,6,0,0,0,59,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126.9,0.030755714,9.628792988,0.215576971,0.0866,77.4,188,NA,108.8466363,0.984121919,9.795656721,8.559994302,0.028562236,
0,0,0,6,0,15,0,0,0,4,0,0,0.5,60.5,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,127.075,0.031018085,9.683569274,0.216810653,0.08705,76.6,184,NA,107.9434495,0.984017067,9.928098415,8.595456849,0.028308987,
0,0,0,5.7,0,12.35,0,0,0,9.5,0,0,1.9,57,0,0,0,0,0,0,0,0,0,0,8.55,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,129.0625,0.027278881,10.00128089,0.202731438,0.035745,76.6,166.6,NA,111.7496298,0.999628233,4.272641175,9.005106,0.026909936,
0,0,0,5.88,0,12.74,0,0,0,9.8,0,0,1.96,58.8,0,0,0,0,2,0,0,0,0,0,8.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,129.275,0.028442805,10.09750908,0.207249285,0.033958,76.3,142.2,NA,0.049977648,0.99984219,4.115947111,9.049659704,0.026508407,
0,0,0,6,0,15,0,0,5.85,6,0,0,0.5,52.65,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126.7825,0.030841149,9.614068605,0.216423824,0.086575,76.2,190,NA,108.0807037,0.984183481,9.771065495,8.53623855,0.028630944,
0,0,0,6,0,16,0,0,0,4,0,0,0,50,0,0,0,0,0,0,0,0,0,10,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126.2,0.032155762,9.528220135,0.221098954,0.0692,76.1,180,NA,103.4212761,0.992938738,7.708900478,8.419119503,0.029036984,
0,0,0,3,0,18,0,0,5.85,6,0,0,0.5,52.65,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126.3325,0.03311013,9.579998032,0.223472525,0.101875,75.3,187,NA,99.32768769,0.976155981,11.43867191,8.44566558,0.02879097,
0,0,0,2,0,19,0,0,5.85,6,0,0,0.5,52.65,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126.1825,0.033863641,9.568641175,0.22578187,0.106975,74.4,188,NA,96.71678811,0.973145245,11.99061237,8.415617581,0.028844637,
0,0,0,23,0,0,0,0,0,0,0,0,0,71,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,127.65,0.02031221,9.518633041,0.182838997,-0.0355,73.4,182.6,NA,190.5429072,0.984139812,-3.948927138,8.712666021,0.029082913,
0,0,0,23,0,0,0,0,0,0,0,0,0,53.25,0,0,0,0,0,0,0,0,0,0,0,6,0,17.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126.7625,0.01979058,9.307754943,0.18100488,-0.0213,73.4,186.5,NA,192.6724647,0.991328611,-2.293434854,8.5321994,0.030124056,
0,0,0,6,0,15,0,0,6.4,0,0,0,1,57.6,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126.93,0.031088187,9.66231064,0.21762317,0.0941,73,177,NA,107.3800854,0.9798878,10.69791879,8.566066655,0.028406834,
0,0,0,6,0,15,0,0,6.425,0,0,0,0.75,57.825,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126.84125,0.030955689,9.634625485,0.217005747,0.0955875,73,176,NA,107.8688169,0.978866563,10.82178996,8.548110924,0.028535094,
0,0,0,6,0,15,0,0,6.45,0,0,0,0.5,58.05,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126.7525,0.030822701,9.606940331,0.216382451,0.097075,73,175,NA,108.3620176,0.977821704,10.94431345,8.530180303,0.028664304,
0,0,0,6,0,15,0,0,6.475,0,0,0,0.25,58.275,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126.66375,0.030689223,9.579255177,0.215753218,0.0985625,73,175,NA,108.859749,0.976753389,11.06549211,8.512274773,0.028794475,
0,0,0,6,0,15,0,0,0,0,0,0,0,65,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126.9,0.030755714,9.628792988,0.215576971,0.0968,73,195,NA,109.1086092,0.977957125,10.94941767,8.559994302,0.028562236,
0,0,0,6,0,15,0,0,6.4875,0,0,0,0.125,58.3875,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126.619375,0.0306223,9.565412599,0.215436353,0.09930625,73,178,NA,109.1103334,0.976210487,11.12557804,8.503331412,0.028859924,
0,0,0,5,0,7,0,0,0,3,0,0,0,63,0,0,0,0,0,0,0,0,0,0,12,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128.95,0.020688436,9.76654659,0.179397094,0.0614,68.8,179,NA,63.35733283,0.991486235,7.090110055,8.981578059,0.027932293,
0,0,0,3,0,10,0,0,0,3,0,0,0,68,0,0,0,0,0,0,0,0,0,0,10,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,129.45,0.022615939,9.909949822,0.184099259,0.0578,67.6,172,NA,75.75251931,0.993624869,6.817359675,9.086461141,0.027300325,
0,0,0,6,0,8,0,0,0,2,0,0,0,65,0,0,0,0,0,0,0,0,0,0,9,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,127.55,0.022746271,9.538477435,0.188935345,0.0625,66.8,174,NA,62.3344814,0.991878323,6.973417459,8.692205757,0.028987975,
0,0,0,3,0,10,0,0,0,3,0,0,0,66,0,0,0,0,0,0,0,0,0,0,10,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128.65,0.023146216,9.76384482,0.187590632,0.065,66.5,172,NA,67.10771714,0.991006966,7.502798266,8.919037316,0.027944429,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,60,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,139,0.000615569,11.29161704,0.035244457,-0.096,66.3,267,50.29411765,159.8918919,0.954187673,-13.6895403,11.24949456,0.02224195,
0,0,0,2,0,10,0,0,0,0,0,0,0,66,0,0,0,0,0,0,0,0,0,0,10,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,127.6,0.023420026,9.560850811,0.190559774,0.0824,66.1,176,NA,54.58804467,0.982327101,9.225120366,8.70243188,0.028881546,
0,0,0,3,0,10,0,0,0,3,0,0,0,64,0,0,0,0,0,0,0,0,0,0,10,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,127.85,0.023637824,9.617739818,0.190891521,0.0722,66,174,NA,60.23388597,0.987937617,8.153192033,8.75368282,0.028613788,
0,0,0,2,0,10,0,0,0,3,0,0,0,63,0,0,0,0,0,0,0,0,0,0,10,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,127.6,0.023420026,9.560850811,0.190559774,0.0773,65.3,178,NA,54.5551984,0.985200053,8.65414811,8.70243188,0.028881546,
0,0,0,5,0,7,0,0,0,3,0,0,0,63,0,0,0,0,0,0,0,0,0,0,12,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128.95,0.020688436,9.76654659,0.179397094,0.0614,65.2,174,NA,63.35733283,0.991486235,7.090110055,8.981578059,0.027932293,
0,0,0,23,0,0,0,0,0,0,0,0,0,35.5,0,0,0,0,0,0,0,0,0,0,0,6,0,35.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125.875,0.019219931,9.096876846,0.178812192,-0.0071,64.9,203.8,NA,194.8501612,0.996420558,-0.739431766,8.354242164,0.031227633,
0,0,0,0,0,9,0,0,0,0,0,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,129.3,0.019888055,9.785307134,0.173369952,0.0344,61,148,NA,57.36196319,0.998908603,3.983407631,9.054910957,0.027848262,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.2,0,60,0,0,0,0,0,0,0,0,6,0,6.8,0,0,0,0,0,0,0,0,139,0.000615569,11.29161704,0.035244457,-0.0992,59.4,189,51.62230272,158.5334743,0.951280039,-14.14585831,11.24949456,0.02224195,
0,0,0,2.5,0,5,0,0,0,2,0,0,0,68,0,0,0,0,0,0,0,0,0,0,5,0,0,5,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130.125,0.016108088,9.859378034,0.158542189,0.03335,57.9,149.7,NA,56.89226472,0.998460177,3.904394625,9.229344071,0.027520496,
0,0,0,2.5,0,5,0,0,0,0,0,0,0,70,0,0,0,0,0,0,0,0,0,0,5,0,0,5,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130.125,0.016108088,9.859378034,0.158542189,0.03675,57.3,150.1,NA,56.91607417,0.997794759,4.302443852,9.229344071,0.027520496,
0,0,0,2.5,0,5,0,0,0,0,0,0,0,70,0,0,0,0,0,0,0,0,0,0,5,0,0,5,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130.125,0.016108088,9.859378034,0.158542189,0.03675,57.3,150.1,NA,56.91607417,0.997794759,4.302443852,9.229344071,0.027520496,
0,0,0,2.5,0,5,0,0,0,0,0,0,0,74.5,0,0,0,0,0,0,0,0,0,0,5.5,0,0,0,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130.4,0.016225372,9.925160367,0.158992201,0.0344,56.9,145,NA,56.88801103,0.998289422,4.066448145,9.287982394,0.027234667,
0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,28,0,56,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,139.9,0.001019618,11.54253604,0.045763712,-0.124,52.9,173.8,48.58782747,153.5113033,0.925984825,-18.25668979,11.46942782,0.021487558,
0,15,0,0,23.375,0,0,0,0,0,6.375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.5,0,0,0,0,0,0,0,0,0,0,0,0,7.0125,0,0,0,0,0,39.7375,138.291875,0.015517953,12.10688788,0.17498872,-0.36592625,48.4,116.9,21.24363661,92.20176424,0.595713461,-57.7495198,11.07843985,0.019936042,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140,0.000638162,11.53802262,0.035714286,-0.145,48.1,,50.66666667,174.8571429,0.902580431,-21.33640799,11.49404032,0.021500756,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,59,0,0,0,0,0,0,3,0,2,0,0,0,11,0,0,0,0,0,19,144.9,0.0073552,13.39352054,0.126783305,-0.15,47.5,159.2,NA,111.2003558,0.888405453,-27.41916184,12.74364796,0.017012778,
0,10,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,16.5,0,0,0,0,0,28.5,148.775,0.009094943,14.64200255,0.139927043,-0.23365,45.2,140.2,12.86737755,91.14939204,0.774695568,-48.62324104,13.79362726,0.014791331,
0,10,0,0,24.75,0,0,0,0,0,6.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,7.425,0,0,0,0,0,42.075,139.07375,0.016124375,12.33780888,0.177453742,-0.3703925,44.5,113.8,21.01746758,93.37266352,0.589870791,-60.0831951,11.26741018,0.019353356,
0,12,0,0,24.2,0,0,0,0,0,6.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.8,0,0,0,0,0,0,0,0,0,0,0,0,7.26,0,0,0,0,0,41.14,138.761,0.015885619,12.24544048,0.176500779,-0.368606,44.1,112.6,21.10735483,92.90075314,0.59219633,-59.14333409,11.19156631,0.019583043,
0,10,0,0,27.5,0,0,0,0,0,7.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,25,147.25,0.026602243,15.44346735,0.226761833,-0.34625,43.7,101.7,8.182596145,72.5450309,0.605744686,-77.86551303,13.37379062,0.013604126,
0,13,0,0,0,0,0,0,0,0,29.25,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,9.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,143.3,0.003358329,12.57019289,0.08141395,-0.324725,43.1,130.3,35.24024807,114.8749894,0.660646067,-54.12465975,12.32614239,0.018794603,
0,13,0,0,0,0,0,0,0,0,29.25,0,0,0,0,0,46,0,0,0,0,0,0,0,0,2,0,9.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,143.1,0.003295508,12.51362327,0.080709007,-0.318725,43.1,128.9,35.41541269,115.7280972,0.668398464,-52.77716002,12.27460458,0.018928167,
0,9,0,0,0,0,0,0,0,0,49,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,142.5,0.002970573,12.33763125,0.077113196,-0.2781,42.7,128.9,36.14039152,117.6139561,0.722396284,-45.11102848,12.12085351,0.019353793,
0,12,0,0,0,0,0,0,0,0,27.25,0,0,0,0,0,49,0,0,0,0,0,0,0,0,0,0,9.75,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,143.8,0.003261147,12.693647,0.080065858,-0.335825,42.4,127.6,35.46281498,115.9879123,0.646760873,-56.77628914,12.45561763,0.018508419,
0,0,0,0,28,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,2,0,0,34,142.55,0.020798926,13.62371027,0.201523124,-0.3407,41.7,103.7,14.22564072,88.34658758,0.619256726,-63.84135831,12.13361678,0.016563657,
0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,146.1,0.003368266,13.31114798,0.080344959,-0.4072,41.3,128.8,34.5349894,114.4717624,0.562985055,-73.76881111,13.06288962,0.017178358,
0,5,0,0,26.125,0,0,0,0,0,7.125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.5,0,0,0,0,0,0,0,0,0,0,0,0,7.8375,0,0,0,0,0,44.4125,139.855625,0.016699189,12.56872988,0.179651919,-0.37485875,40.5,115.8,20.7960636,94.57368458,0.584123643,-62.47029725,11.45851729,0.018798038,
0,0,0,0,22.05,0,0,0,0,0,12.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.8,0,0,0,0,0,0,0,0,0,0,0,0,13.72,0,0,2,0,0,40.18,144.867,0.017805683,14.0396384,0.184881628,-0.352827,40.2,,14.82425844,88.02809204,0.608363433,-69.07071933,12.7349431,0.015799786,
0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,25,150,0.010169176,15.10163589,0.147572957,-0.223,40.2,108.7,11.26487218,88.43405208,0.787857323,-48.54172739,14.13716694,0.014090692,
0,10,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,2,0,0,0,0,0,0,0,0,0,18.4,0,0,0,0,0,27.6,149.74,0.009583066,14.96820407,0.143268517,-0.22784,39.8,131.2,11.89648451,89.22665458,0.782010896,-48.95893441,14.06378102,0.014288399,
0,5,0,0,27.5,0,0,0,0,0,7.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,30,148.75,0.025981896,15.81433236,0.222046003,-0.36025,39.7,98.3,8.210000214,73.0202633,0.590197448,-83.86028743,13.78667483,0.013106603,
0,10,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,18.4,0,0,0,0,0,27.6,149.64,0.009642372,14.94444316,0.143743481,-0.23384,39.6,132.3,11.90184777,88.97462574,0.773682083,-50.13220859,14.03562343,0.014324082,
0,0,0,0,22.5,1,0,0,0,0,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,41,143.5,0.019687259,13.73891771,0.192112178,-0.33975,39.5,130.4,NA,88.17128017,0.621741301,-64.44811711,12.37782427,0.016346115,
